n,trial,live_k,repr,output_k,reps,ok,cm_us,bitset_us,ratio
16,129,4,2,16,200,True,26.346499798819423,20.488500013016164,1.2859164791020192
16,130,4,2,16,200,True,23.566000163555145,16.530000139027834,1.425650330632188
16,131,7,2,16,40,True,81.34750241879374,54.30750024970621,1.4979054834922882
16,132,2,2,16,200,True,32.00849983841181,48.52800047956407,0.6595882690837656
16,133,4,2,16,200,True,18.60349962953478,19.539500353857875,0.9520969980105817
16,134,7,2,16,40,True,68.10750055592507,57.535001542419195,1.1837576906243936
16,135,1,2,16,200,True,13.088499545119703,33.23699987959117,0.3937930496896791
16,136,6,2,16,40,True,61.2050003837794,62.377500580623746,0.981203155209323
16,137,7,2,16,200,True,61.60649994853885,65.31550025101751,0.9432140871887316
16,138,5,2,16,200,True,31.45049966406077,25.67449992056936,1.224970291976901
16,139,6,2,16,40,True,122.21499928273262,90.20500001497567,1.3548583699622272
16,140,5,2,16,200,True,51.96249985601753,53.79849986638874,0.9658726541645026
16,141,9,1,16,10,True,1256.2000076286495,110.47000298276544,11.371412815338031
