n,trial,live_k,output_k,repr_t7,repr_t16,reps,rounds,ok_t7,ok_t16,threshold7_us,threshold16_us,bitset_us,t7_over_bitset,t16_over_bitset,t16_over_t7
16,140,5,16,2,2,30,5,True,True,42.03333131348093,43.676665518432856,40.2599999991556,1.0440469775052788,1.0848650153837285,1.039095978205869
16,141,9,16,1,2,7,5,True,True,1021.8571405857801,139.47142620704005,110.7857096940279,9.223726989771363,1.258929753595815,0.13648818476434776
16,142,4,16,2,2,30,5,True,True,80.88666557644804,52.30666526282827,92.25666678200164,0.8767568610253348,0.5669689474737535,0.646666108561391
16,143,6,16,2,2,30,5,True,True,30.44333231324951,30.543333074698847,37.073332350701094,0.821165252296879,0.8238626294979183,1.0032848165378339
16,144,7,16,2,2,30,5,True,True,64.0633321988086,80.35333206256232,47.48666348556677,1.3490805101158598,1.69212419160561,1.2542796215033079
16,145,4,16,2,2,100,5,True,True,32.00700040906668,44.44399964995682,33.69000041857362,0.9500445239359782,1.319204484944275,1.3885712213559098
16,146,5,16,2,2,30,5,True,True,41.77666657293836,45.32666644081473,38.87999725217621,1.0745028170134456,1.1658094044303897,1.0849756612744195
16,147,5,16,2,2,30,5,True,True,67.47000152245164,65.50666488086183,62.79333416993419,1.0744771306435368,1.0432104895654164,0.9709005988248499
16,148,2,16,2,2,30,5,True,True,53.809998401751116,38.70666647950808,29.680000928541023,1.8130052802662175,1.304132926838516,0.7193210858420778
16,149,7,16,2,2,30,5,True,True,52.26666495824853,42.58333550145228,33.7066672121485,1.5506328356133254,1.2633505185616354,0.8147322109698131
16,150,6,16,2,2,30,5,True,True,76.95000385865569,63.790000664691135,86.65666682645679,0.8879871183224695,0.736123405166741,0.8289798241188229
16,151,4,16,2,2,100,5,True,True,34.90400034934282,38.819999899715185,51.448000594973564,0.6784325910762977,0.7545482710849578,1.1121934308726333
16,152,6,16,2,2,30,5,True,True,74.38333317016561,69.51000153397521,54.77333130935828,1.3580209819638427,1.2690482735363424,0.9344835539294568
16,153,7,16,2,2,30,5,True,True,66.24333327636123,68.1066691565017,59.87000185996294,1.106452834782027,1.1375758650518246,1.02812865518658
16,154,5,16,2,2,30,5,True,True,56.77333101630211,46.643331491698824,38.51999839146932,1.4738663911490502,1.2108861225193743,0.8215711612606539
16,155,5,16,2,2,30,5,True,True,35.32333454738061,29.829998190204304,51.159997625897326,0.6904483226461263,0.5830727047396164,0.8444842077463589
16,156,6,16,2,2,30,5,True,True,70.62666506196062,59.32333103070656,64.76000028972824,1.0905908700738982,0.9160489617866169,0.8399565656775997
16,157,1,16,2,2,100,5,True,True,3.6399997770786285,2.7439999394118786,20.629999926313758,0.17644206447309652,0.13301017688865238,0.7538461833682153
16,158,7,16,2,2,30,5,True,True,74.60666432355842,87.4766653093199,101.57333454117179,0.7345103383734765,0.8612168312133345,1.1725047099002595
16,159,5,16,2,2,100,5,True,True,50.963000394403934,32.99599979072809,37.182000232860446,1.37063633143018,0.88741863224365,0.6474501017477626
16,160,4,16,2,2,30,5,True,True,25.08333418518305,23.839999145517744,21.550001110881567,1.1639597629773366,1.1062644044820886,0.950431827344558
16,161,5,16,2,2,30,5,True,True,61.190000269562006,51.2433354742825,69.40333405509591,0.8816579362165261,0.7383411210994982,0.8374462371063706
16,162,7,16,2,2,100,5,True,True,60.17899955622852,44.995000353083014,43.79900055937469,1.3739811134422764,1.027306554451785,0.747686081272284
16,163,7,16,2,2,100,5,True,True,25.686000008136034,29.585000593215227,38.85700018145144,0.6610391921195543,0.7613814873783735,1.1517947747350379
16,164,5,16,2,2,30,5,True,True,75.83333256964883,65.50666876137257,60.71666333203515,1.2489706846199151,1.0788911176350848,0.8638242121458689
16,165,6,16,2,2,30,5,True,True,42.249999629954495,40.4366641305387,37.566665560007095,1.1246672814883312,1.0763974797269993,0.9570808162059682
