seed_base,trial,n,live_k,output_k,repr,reps,rounds,ok,cm_us,bitset_us,ratio
13700000,61,24,7,7,3,150,5,True,6.025333423167467,5.902666598558426,1.0207815946506278
13700000,62,24,7,7,3,150,5,True,6.697999779134989,5.555999620507161,1.2055435991054988
13700000,63,24,9,9,3,150,5,True,13.13200065245231,9.932666240880888,1.3221022768693864
13700000,64,24,8,8,3,150,5,True,6.725333320597808,5.9013332550724344,1.1396294752236051
13700000,65,24,5,5,3,150,5,True,4.868000590552886,6.354666935900847,0.7660512564476034
13700000,66,24,5,5,3,150,5,True,6.757333564261596,4.980000667273998,1.3568941082010921
13700000,67,24,7,7,3,150,5,True,8.014666382223368,6.983999628573656,1.1475754307650508
13700000,68,24,6,6,3,150,5,True,8.015333830068508,5.640000260124603,1.4211584149628085
13700000,69,24,4,4,3,150,5,True,4.10400020579497,4.732000331083934,0.8672865424028592
13700000,70,24,4,4,3,150,5,True,3.9293337613344193,4.1679999170204,0.9427384451925331
13700000,71,24,7,7,3,150,5,True,7.09266634657979,6.2413327395915985,1.1364025349245999
13700000,72,24,8,8,3,150,5,True,8.377332706004381,6.50199983889858,1.2884240100847923
13700000,73,24,3,3,3,150,5,True,8.17266603310903,6.422000005841255,1.2726044885822831
13700000,74,24,4,4,3,150,5,True,8.748666538546482,5.833332737286885,1.4997715598537131
13700000,75,24,7,7,3,150,5,True,11.264667070160309,7.597333751618862,1.4827132041895619
13700000,76,24,5,5,3,150,5,True,6.950000145783028,4.650667154540618,1.494409278246775
13700000,77,24,5,5,3,150,5,True,9.301333532979092,9.021999624868235,1.0309614187237275
13700000,78,24,7,7,3,150,5,True,7.366000209003687,5.64200027535359,1.3055653756667092
13700000,79,24,6,6,3,150,5,True,6.142000202089548,6.028666005780299,1.018799216310969
13700000,80,24,3,3,3,150,5,True,4.4793332926929,7.838667370378971,0.5714406647256854
13700000,81,24,7,7,3,150,5,True,6.2599995483954745,6.272667087614536,0.9979805178495645
13700000,82,24,3,3,3,150,5,True,8.491999469697475,6.412666601439317,1.3242540112394825
13700000,83,24,7,7,3,150,5,True,6.094666508336862,4.7420004072288675,1.28525221108078
13700000,84,24,5,5,3,150,5,True,9.45666649689277,9.76400061820944,0.9685237503218195
13700000,85,24,4,4,3,150,5,True,4.711333507051071,4.229999613016844,1.1137905290943844
13700000,86,24,10,10,3,150,5,True,15.59399999678135,11.566000369687874,1.3482621043009855
13700000,87,24,4,4,3,150,5,True,9.283333395918211,8.689999425162872,1.0682777917150688
13700000,88,24,8,8,3,150,5,True,7.0586660876870155,7.287333719432354,0.968621221347998
13700000,89,24,11,11,3,150,5,True,8.698000262180964,8.849999867379665,0.9828249031100035
13700000,90,24,7,7,3,150,5,True,8.688666857779026,9.68133332207799,0.897465934569651
13700000,91,24,5,5,3,150,5,True,4.896000027656555,5.421999376267195,0.9029879363481655
13700000,92,24,7,7,3,150,5,True,7.7073330370088415,10.419333508859077,0.7397145921527181
13700000,93,24,6,6,3,150,5,True,10.072666530807812,9.076666707793871,1.109731893334665
13700000,94,24,6,6,3,150,5,True,7.177999553581079,5.105333402752876,1.4059805672457335
13700000,95,24,10,10,3,150,5,True,8.851333210865658,7.894000348945459,1.1212734760073941
13700000,96,24,6,6,3,150,5,True,6.259333652754625,5.1686664422353115,1.2110152053162149
13700000,97,24,5,5,3,150,5,True,5.1359995268285275,5.83666687210401,0.8799541997806525
13700000,98,24,2,2,3,150,5,True,3.9446664353211722,4.099333503594002,0.962270191450091
13700000,99,24,9,9,3,150,5,True,9.302000204722086,8.731999744971594,1.0652771961060503
13700000,100,24,5,5,3,150,5,True,10.951333679258823,9.732666270186503,1.1252141371378768
13700000,101,24,10,10,3,150,5,True,9.012000324825445,6.872666999697685,1.3112813883201186
13700000,102,24,10,10,3,150,5,True,15.779999860872824,11.865999549627304,1.3298500303220098
13700000,103,24,7,7,3,150,5,True,8.348000701516867,9.147999808192253,0.9125492868988729
13700000,104,24,7,7,3,150,5,True,6.176000460982323,5.710000017036994,1.0816112859115443
13700000,105,24,5,5,3,150,5,True,9.649999750157198,7.539333309978247,1.2799539897493988
13700000,106,24,6,6,3,150,5,True,6.324666707466046,5.095999998350938,1.241104142369055
13700000,107,24,6,6,3,150,5,True,5.629333512236674,5.522666809459527,1.0193143469373243
13700000,108,24,2,2,3,150,5,True,3.747999823341767,5.71666673446695,0.6556267834793151
13700000,109,24,6,6,3,150,5,True,6.065333727747202,6.631333380937576,0.9146476853633394
13700000,110,24,7,7,3,150,5,True,8.70533287525177,8.41000039751331,1.0351168209011958
13700000,111,24,2,2,3,150,5,True,3.965333259354035,4.92466613650322,0.8051983930365758
13700000,112,24,7,7,3,150,5,True,8.337999849269789,5.806666643669208,1.435935685813891
13700000,113,24,7,7,3,150,5,True,5.6220001230637235,5.5759997727970285,1.008249704472929
13700000,114,24,8,8,3,150,5,True,9.417999535799026,7.892667005459467,1.1932594558068224
13700000,115,24,5,5,3,150,5,True,5.897999896357457,5.856000352650881,1.0071720527966779
13700000,116,24,7,7,3,150,5,True,5.952000307540099,5.646666201452414,1.0540733408341276
13700000,117,24,8,8,3,150,5,True,5.791333969682455,4.707999372233948,1.2301050853654776
13700000,118,24,4,4,3,150,5,True,7.258666058381398,6.394666464378437,1.1351125346123807
13700000,119,24,4,4,3,150,5,True,4.029999642322461,4.623332836975654,0.8716654812502488
13700000,120,24,2,2,3,150,5,True,6.401999853551388,5.95333365102609,1.0753638597843358
13700000,121,24,4,4,3,150,5,True,6.754666877289613,7.581333629786968,0.8909602461960793
13700000,122,24,7,7,3,150,5,True,9.321999580909809,8.153333328664303,1.1433360081252755
13700000,123,24,7,7,3,150,5,True,8.419333801915249,7.480000300953786,1.1255793399957066
13700000,124,24,5,5,3,150,5,True,8.763333316892385,9.165999945253134,0.9560695362463666
13700000,125,24,7,7,3,150,5,True,6.733333381513755,4.812000164141258,1.399279541112687
13700000,126,24,3,3,3,150,5,True,3.3666666907568774,7.5333332642912865,0.4469026621608786
13700000,127,24,4,4,3,150,5,True,4.401333474864562,7.357999371985594,0.5981698628056338
13700000,128,24,6,6,3,150,5,True,4.822666912029187,4.3213328657050925,1.1160137536043047
13700000,129,24,5,5,3,150,5,True,5.261333038409552,4.974667293330033,1.0576251090125919
13700000,130,24,6,6,3,150,5,True,9.741333778947592,5.832666841646036,1.6701337558650087
13700000,131,24,8,8,3,150,5,True,5.682667251676321,4.737333705027898,1.1995497057015654
13700000,132,24,8,8,3,150,5,True,11.848666860411564,10.065333141634861,1.1771758265407046
13700000,133,24,5,5,3,150,5,True,9.683333337306976,9.247333121796448,1.0471487519448015
13700000,134,24,7,7,3,150,5,True,7.168666149179141,7.788666989654303,0.920397053655175
13700000,135,24,7,7,3,150,5,True,5.82600012421608,6.128666767229636,0.9506146027335123
13700000,136,24,6,6,3,150,5,True,5.694666566948095,5.2233327490588035,1.0902362228357407
13700000,137,24,11,11,3,150,5,True,10.458000469952822,5.777999758720398,1.809969004268159
13700000,138,24,2,2,3,150,5,True,3.4206663258373737,6.186667208870252,0.5529093792103329
13700000,139,24,6,6,3,150,5,True,5.028666152308384,5.683333147317171,0.8848093226212115
13700000,140,24,6,6,3,150,5,True,8.27800016850233,6.2273334090908365,1.3293009422649305
13700000,141,24,2,2,3,150,5,True,4.971999830255906,4.059999870757261,1.2246305390469239
13700000,142,24,1,1,3,150,5,True,3.299333620816469,4.141999719043573,0.7965557326445971
13700000,143,24,4,4,3,150,5,True,4.218666969488065,4.359999826798837,0.9675842057510952
13700000,144,24,8,8,3,150,5,True,6.122000049799681,5.169999785721302,1.1841393237012598
13700000,145,24,6,6,3,150,5,True,5.640000260124603,6.940000069638093,0.8126801446010242
13700000,146,24,8,8,3,150,5,True,11.68066713338097,9.498000144958496,1.2298027958634035
13700000,147,24,8,8,3,150,5,True,9.07400002082189,6.4453335168461,1.4078402610361858
13700000,148,24,8,8,3,150,5,True,7.046000100672245,7.524666531632344,0.9363870240697216
13700000,149,24,9,9,3,150,5,True,6.608666541675727,5.315333449592194,1.24332115837112
13700000,150,24,5,5,3,150,5,True,7.093333018322786,7.509333857645592,0.9446021648246128
13700000,151,24,6,6,3,150,5,True,8.574666765828926,6.915333215147257,1.2399499053851935
13700000,152,24,7,7,3,150,5,True,7.57200022538503,9.887333338459332,0.7658283549449864
13700000,153,24,4,4,3,150,5,True,7.435999965916078,7.152666803449392,1.0396122411755637
13700000,154,24,8,8,3,150,5,True,7.228666606048742,5.775999743491411,1.2515005067640879
13700000,155,24,4,4,3,150,5,True,6.531333395590385,9.563999871412912,0.6829081433922579
13700000,156,24,6,6,3,150,5,True,7.372000254690647,4.886666623254617,1.5085948813468983
13700000,157,24,7,7,3,150,5,True,6.042000216742356,5.370666428158681,1.1250000903172532
13700000,158,24,10,10,3,150,5,True,7.607333827763796,5.784666476150354,1.3150859879524828
13700000,159,24,9,9,3,150,5,True,6.670667013774315,5.631999423106512,1.184422531438203
13700000,160,24,5,5,3,150,5,True,9.294666815549135,5.414000091453394,1.7167836458336616
13700000,161,24,8,8,3,150,5,True,6.432000081986189,7.1420000555614624,0.9005880750417528
13700000,162,24,5,5,3,150,5,True,7.880000242342551,7.75600007424752,1.0159876440056714
13700000,163,24,6,6,3,150,5,True,8.674666751176119,5.794666552295287,1.4970087878033385
13700000,164,24,10,10,3,150,5,True,9.558666497468948,9.110000294943651,1.049249855982367
13700000,165,24,6,6,3,150,5,True,6.894666391114393,7.263332760582368,0.9492428088289301
13700000,166,24,6,6,3,150,5,True,5.436666930715243,6.638000098367532,0.8190218213543369
13700000,167,24,6,6,3,150,5,True,10.036667032788198,9.22733296950658,1.0877105081128222
13700000,168,24,8,8,3,150,5,True,10.871999741842348,9.142667210350433,1.189149675002294
13700000,169,24,9,9,3,150,5,True,8.94199979181091,7.309999782592058,1.2232558218545062
13700000,170,24,6,6,3,150,5,True,5.048666304598252,5.6186659882466,0.8985524882880205
13700000,171,24,3,3,3,150,5,True,7.136000009874502,7.946666640539964,0.8979865813761658
13700000,172,24,7,7,3,150,5,True,10.47866651788354,11.089999849597614,0.9448752623981094
13700000,173,24,7,7,3,150,5,True,7.525999875118335,6.936666710923116,1.0849591293275198
13700000,174,24,2,2,3,150,5,True,5.166666427006324,4.4626664991180105,1.1577532015953802
13700000,175,24,5,5,3,150,5,True,7.880000242342551,7.937333236138026,0.9927767939067441
13700000,176,24,4,4,3,150,5,True,4.7420004072288675,3.9273337461054325,1.2074350472330764
13700000,177,24,4,4,3,150,5,True,7.035333352784316,6.808667288472256,1.0332908122410136
13700000,178,24,7,7,3,150,5,True,6.192666478455067,5.690666536490122,1.0882146122507763
13700000,179,24,8,8,3,150,5,True,12.082000418255728,6.907333930333456,1.7491553962952044
13700000,180,24,6,6,3,150,5,True,10.664666381975016,9.639333778371414,1.1063696544987607
13700000,181,24,4,4,3,150,5,True,9.471333275238672,7.2480000865956145,1.30675126408385
13700000,182,24,1,1,3,150,5,True,6.728666679312785,6.465999564776818,1.0406228166124278
13700000,183,24,3,3,3,150,5,True,5.459333769977093,7.546666699151198,0.7234099487381792
13700000,184,24,7,7,3,150,5,True,6.8873330019414425,6.575332954525948,1.0474500758476022
13700000,185,24,7,7,3,150,5,True,5.440000289430221,4.661999798069397,1.166881279506491
13700000,186,24,5,5,3,150,5,True,4.969333143283923,5.779999773949385,0.8597462521851371
