n,trial,live_k,repr,output_k,reps,ok,cm_us,bitset_us,ratio
22,138,5,3,5,200,True,5.4209999507293105,4.837500164285302,1.1206201067964647
22,139,5,3,5,200,True,5.3640000987797976,4.170499742031097,1.2861768206626114
22,140,9,3,9,200,True,7.13299959897995,6.2380003510043025,1.143475344279446
22,141,9,3,9,200,True,6.7350000608712435,5.364500102587044,1.2554758005547006
22,142,2,3,2,200,True,3.3789995359256864,4.976000054739416,0.6790593847979044
22,143,6,3,6,200,True,7.476999890059233,5.697499727830291,1.3123300126784925
22,144,6,3,6,200,True,5.433500045910478,4.795499844476581,1.1330414392920356
22,145,6,3,6,200,True,6.25050044618547,4.826500080525875,1.2950378829175202
22,146,4,3,4,200,True,4.047499969601631,3.763999557122588,1.0753189282242548
22,147,1,3,1,200,True,2.709999680519104,4.85599972307682,0.5580724536783983
22,148,4,3,4,200,True,4.755000118166208,3.998000174760818,1.189344649903793
22,149,2,3,2,200,True,3.208999987691641,3.582499921321869,0.8957432123285535
22,150,7,3,7,200,True,6.120500038377941,6.500500021502376,0.9415429610233875
22,151,9,3,9,200,True,14.013000181876123,7.417500019073486,1.889181010561895
22,152,8,3,8,200,True,8.40950000565499,10.32850006595254,0.8142034130760718
22,153,7,3,7,200,True,6.270000012591481,8.906499715521932,0.7039802630504044
22,154,7,3,7,200,True,7.8795000445097685,7.322500459849834,1.0760668555384914
22,155,2,3,2,200,True,3.4625001717358828,3.7585000973194838,0.9212451994361516
22,156,6,3,6,200,True,5.0475000170990825,5.434500053524971,0.9287882909901033
22,157,3,3,3,200,True,3.475999692454934,4.402500344440341,0.7895512596255829
22,158,0,3,0,200,True,4.256499814800918,6.823000148870051,0.6238457748686744
22,159,2,3,2,200,True,4.577499930746853,7.224500295706093,0.6336078266157047
22,160,4,3,4,200,True,5.712999845854938,6.220000213943422,0.9184886896061616
22,161,1,3,1,200,True,3.1465000938624144,5.113999941386282,0.6152718282999186
22,162,2,3,2,200,True,6.711999885737896,5.066499579697847,1.3247805077560437
22,163,5,3,5,200,True,5.7045003632083535,5.722999921999872,0.9967675067196133
22,164,4,3,4,200,True,6.061000167392194,4.878499894402921,1.2423901401219564
22,165,10,3,10,200,True,12.445999891497195,9.87350009381771,1.2605458827402305
22,166,6,3,6,200,True,5.099000409245491,4.751499509438872,1.073134996460866
22,167,7,3,7,200,True,8.880500099621713,6.92449975758791,1.2824753282560817
22,168,3,3,3,200,True,8.527000318281353,8.505500154569745,1.0025277953466447
22,169,3,3,3,200,True,4.396500298753381,4.8764998791739345,0.9015688316797694
22,170,5,3,5,200,True,7.080999785102904,5.022499826736748,1.409855655426397
22,171,4,3,4,200,True,4.389499663375318,4.099999787285924,1.0706097295387993
22,172,9,3,9,200,True,8.168999920599163,6.513000116683543,1.2542606746887124
22,173,6,3,6,200,True,5.945999873802066,4.6850001672282815,1.2691568114329035
22,174,4,3,4,200,True,5.2214995957911015,3.721499815583229,1.4030632418485809
22,175,7,3,7,200,True,7.654500077478588,5.4765003733336926,1.3976991793427174
22,176,4,3,4,200,True,5.248999805189669,4.877499886788428,1.0761660537209883
22,177,4,3,4,200,True,4.564999835565686,4.485500394366682,1.0177236504758416
22,178,2,3,2,200,True,3.6449998151510954,3.7590001011267304,0.969672710053542
22,179,6,3,6,200,True,5.907499580644071,4.325500340200961,1.3657378605984831
22,180,8,3,8,200,True,5.719999899156392,5.1564996829256415,1.1092795987356752
22,181,9,3,9,200,True,7.169499876908958,5.963000003248453,1.2023310201246422
22,182,6,3,6,200,True,5.257499869912863,5.129000055603683,1.025053580213708
22,183,8,3,8,200,True,5.374000174924731,7.1435002610087395,0.7522922906936192
22,184,6,3,6,200,True,5.922000273130834,8.235499844886363,0.7190820696582199
22,185,8,3,8,200,True,6.335499929264188,6.427000043913722,0.9857631688152572
22,186,7,3,7,200,True,6.074500270187855,4.705500323325396,1.2909361072777445
22,187,9,3,9,200,True,7.7844999032095075,6.003999733366072,1.2965523399257746
22,188,11,3,11,200,True,10.086000547744334,7.4804999167099595,1.3483056827812003
22,189,2,3,2,200,True,4.356999997980893,5.023499834351242,0.8673236073757283
22,190,5,3,5,200,True,6.894500111229718,8.499000105075538,0.8112130869503549
22,191,7,3,7,200,True,8.424000116065145,8.229999803006649,1.0235723350792332
22,192,5,3,5,200,True,10.014500003308058,9.246499976143241,1.0830584577025169
22,193,4,3,4,200,True,4.16550028603524,3.9524998283013697,1.0538900612237114
22,194,6,3,6,200,True,7.208500173874199,4.226999590173364,1.7053467879750974
22,195,3,3,3,200,True,4.2260001646354795,4.314499674364924,0.9794878858711533
22,196,11,3,11,200,True,11.933500063605607,9.123999625444412,1.3079242167356346
22,197,4,3,4,200,True,4.744500038214028,4.3860002188012,1.0817373008501159
22,198,4,3,4,200,True,4.594500060193241,5.556499818339944,0.8268694700625204
22,199,7,3,7,200,True,9.904999751597643,5.410999874584377,1.8305303975558591
22,200,3,3,3,200,True,3.7919997703284025,3.964999923482537,0.9563681824734602
22,201,5,3,5,200,True,6.036499980837107,6.352999480441213,0.9501810915334554
22,202,6,3,6,200,True,7.411999977193773,8.529500337317586,0.868984076917775
22,203,4,3,4,200,True,4.726499901153147,4.103499813936651,1.1518216438320799
22,204,9,3,9,200,True,6.31700037047267,5.092499777674675,1.240451771478942
22,205,5,3,5,200,True,4.726499901153147,3.9444997673854236,1.1982507744666608
22,206,8,3,8,200,True,10.605999850668013,7.830000249668956,1.3545337819263064
22,207,6,3,6,200,True,5.873499903827906,4.6865001786500216,1.2532806315863212
22,208,6,3,6,200,True,5.117499968037009,5.794999888166785,0.8830888812417045
22,209,2,3,2,200,True,4.137500072829425,3.9095000829547644,1.0583194743667432
22,210,8,3,8,200,True,8.158999844454229,6.637999904341996,1.2291352759913914
22,211,4,3,4,200,True,6.6334998700767756,4.980500089004636,1.3318943382254804
22,212,5,3,5,200,True,8.583999588154256,6.487499922513962,1.3231598752494294
22,213,2,3,2,200,True,4.541999660432339,5.401000380516052,0.8409552565146018
22,214,6,3,6,200,True,10.181500110775232,6.772999768145382,1.5032482591628942
22,215,8,3,8,200,True,7.7225000131875285,7.490499992854893,1.0309725679933166
22,216,6,3,6,200,True,9.829499758780003,5.895000067539513,1.6674299654219837
22,217,4,3,4,200,True,6.154999719001353,4.185500438325107,1.470552878848669
22,218,8,3,8,200,True,8.818500209599733,7.830000249668956,1.126245201585092
22,219,7,3,7,200,True,6.92599976900965,5.06600015796721,1.3671534846119677
22,220,6,3,6,200,True,5.307000246830285,6.665000109933317,0.7962490861659387
22,221,8,3,8,200,True,6.606500246562064,5.242999759502709,1.2600611385854195
22,222,6,3,6,200,True,7.441500201821327,6.658499478362501,1.1175941705790127
22,223,2,3,2,200,True,4.4395000440999866,4.36500005889684,1.0170675794267858
22,224,5,3,5,200,True,5.4465001448988914,4.312499659135938,1.2629566551641571
22,225,6,3,6,200,True,5.874499911442399,4.938499769195914,1.1895312718418702
22,226,6,3,6,200,True,5.53599966224283,6.146999658085406,0.9006019147831085
22,227,5,3,5,200,True,4.529499565251172,4.671000060625374,0.9697065952606179
22,228,3,3,3,200,True,3.925999626517296,3.8044998655095696,1.0319358037331545
22,229,4,3,4,200,True,3.930499660782516,4.110499867238104,0.9562096552075715
22,230,7,3,7,200,True,7.212500204332173,4.664500011131167,1.5462536578669879
22,231,5,3,5,200,True,4.558499786071479,4.228000179864466,1.0781692507443572
22,232,7,3,7,200,True,5.308500258252025,4.832500126212835,1.0984997660853089
22,233,8,3,8,200,True,6.104499916546047,5.727999960072339,1.0657297414626645
22,234,9,3,9,200,True,6.568499957211316,6.669499562121928,0.9848564942586969
22,235,8,3,8,200,True,6.821000133641064,5.489499890245497,1.2425540158515278
22,236,6,3,6,200,True,7.2890002047643065,5.9120001969859,1.2329160963966879
22,237,4,3,4,200,True,6.884000031277537,4.060500068590045,1.6953576936320347
22,238,6,3,6,200,True,6.149499677121639,5.0080002984032035,1.2279351658749704
