trial,ambient_n,live_k,fixed_count,program_slots,program_ops,full_raw_us,bind_hit_us,prebound_eval_us,prekey_lookup_us,key_sort_hash_us,cm_wrapper_us,full_minus_prebound_us
44,32,8,24,19,10,10.74033323675394,6.700666854158044,4.471999903519949,1.0326667688786983,4.609333506474893,10.023999881620208,6.268333333233992
45,24,7,17,16,8,7.437666645273566,2.688666572794318,3.288333149005969,0.5753334456433853,2.1016663716485104,8.038333617150784,4.149333496267597
45,32,7,25,16,8,9.82499991854032,4.787999981393416,2.4599997171511254,0.7129999964187542,3.250333247706294,9.621999925002456,7.3650002013891935
46,24,5,19,11,6,7.993333274498583,4.628666987021764,2.2296669582525888,0.9113332877556483,3.188666499530276,6.808666900421183,5.763666316245994
46,32,5,27,11,6,10.732000228017569,6.6806667018681765,2.9793331244339547,1.0823334256807964,4.603999744479855,6.9496668099115295,7.752667103583613
47,24,4,20,17,9,6.688000091041127,2.9313331469893456,2.652333350852132,0.8723333788414797,2.675666861856977,7.65566675302883,4.035666740188995
47,32,4,28,17,9,9.17266666268309,7.569333538413048,3.078666826089223,1.289000113805135,5.585000229378541,7.906000052268306,6.093999836593867
48,24,10,14,25,13,8.881333439300457,3.5776663571596146,5.780666833743453,0.7316668052226305,2.049000080054005,14.999333458642164,3.100666605557004
48,32,10,22,25,13,14.59733311397334,4.182666695366303,5.0763331819325686,0.5703334075709184,3.124666788304846,11.724333356445035,9.520999932040771
49,24,6,18,18,9,7.22500029951334,3.229666423673431,2.774666451538603,0.7146666757762432,2.655333373695612,10.969333428268632,4.450333847974737
49,32,6,26,18,9,9.097333531826735,5.708333337679505,2.393999990696708,0.8933331506947676,5.075333174318075,7.733999906728664,6.703333541130027
50,24,4,20,10,6,7.6299998909235,3.0416665443529687,2.039333339780569,0.753000300998489,4.1606669158985214,8.228666459520658,5.590666551142931
50,32,4,28,10,6,8.906333629662791,5.645000298197071,1.7016664302597442,1.326332955310742,5.029666547973951,7.328999927267432,7.204667199403048
51,24,1,23,3,2,4.456666841482123,3.5006665469457703,0.56666632493337,0.7036665920168161,3.4180000269164643,5.290666983152429,3.8900005165487532
51,32,1,31,3,2,10.3213331506898,7.452666759490967,0.8659999972830216,1.1846667621284723,6.089999806135893,6.152666561926405,9.455333153406778
52,24,3,21,7,4,8.532333110148707,5.349666656305392,1.5526664598534505,0.9330001194030046,4.506999781976144,7.313999813050032,6.979666650295257
52,32,3,29,7,4,8.342333603650331,4.980999898786346,1.0539998766034842,0.7703333782653015,4.3400000625600414,4.485000002508362,7.288333727046847
53,24,8,16,16,8,10.764333419501781,4.497333041702708,5.709666681165496,0.796333576242129,3.8166670128703117,13.233999876926342,5.0546667383362855
53,32,8,24,16,8,17.581666664530832,7.096666765088837,5.193999968469143,1.1860001056144636,6.2303334319343175,12.605333079894383,12.38766669606169
54,24,3,21,9,5,8.273333078250289,6.441000150516629,2.0383333321660757,1.0436664645870526,4.416666536902388,9.661333557839194,6.234999746084213
54,32,3,29,9,5,10.927666444331408,6.7079998552799225,1.7656665295362473,1.34666683152318,7.03166665819784,11.122666376953324,9.16199991479516
55,24,7,17,17,9,10.058333476384481,3.662666616340478,4.5223332320650425,0.7193333779772123,4.08000002304713,10.956333329280216,5.536000244319439
