n,depth,trial,live_k,declined,ok,cm_us,bitset_us,ratio,output_k
24,4,220,5,False,True,3.280856180936098,3.1416607089340687,1.0443063350559127,5
24,4,221,5,False,True,3.5130116157233715,3.5262107849121094,0.9962568405594997,5
24,4,222,3,False,True,2.2300053387880325,3.5717105492949486,0.6243521998803159,3
24,4,223,9,False,True,4.427016247063875,4.1107600554823875,1.076933751255977,9
24,4,224,5,False,True,2.6841554790735245,3.028055652976036,0.8864287142263982,5
24,4,225,7,False,True,3.640260547399521,3.357210662215948,1.08431102890539,7
24,4,226,9,False,True,3.7805153988301754,3.4828600473701954,1.0854629090493404,9
24,4,227,9,False,True,4.6053132973611355,4.138459917157888,1.112808481789975,9
24,4,228,3,False,True,2.5082100182771683,3.072058316320181,0.8164591163365642,3
24,4,229,10,False,True,4.501158837229013,4.119861405342817,1.092551033729366,10
24,4,230,6,False,True,3.4258095547556877,3.251759335398674,1.0535249387807708,6
24,4,231,2,False,True,2.3932545445859432,2.922310959547758,0.8189595760734207,2
24,4,232,8,False,True,4.137365613132715,3.8415100425481796,1.0770154359373447,8
24,4,233,3,False,True,2.775059547275305,2.9406603425741196,0.9436858473924074,3
24,4,234,2,False,True,2.1679047495126724,2.72195553407073,0.7964511992855866,2
24,4,235,7,False,True,3.97935975342989,3.6868592724204063,1.0793359494889152,7
24,4,236,6,False,True,3.36990924552083,3.1254603527486324,1.078212124033895,6
24,4,237,5,False,True,3.2295100390911102,3.5630608908832073,0.9063864295315434,5
24,4,238,2,False,True,2.4001533165574074,4.009658005088568,0.598593025517744,2
24,4,239,2,False,True,2.4265097454190254,2.6199105195701122,0.9261803894803167,2
24,4,240,5,False,True,2.927258610725403,3.88766173273325,0.7529612430213601,5
24,4,241,4,False,True,2.684309147298336,3.2800110056996346,0.8183841891487087,4
24,4,242,2,False,True,2.3983605206012726,2.620911691337824,0.9150863527862887,2
24,4,243,6,False,True,3.3726589754223824,3.176359459757805,1.061800157743968,6
24,4,244,7,False,True,3.175456076860428,3.0340603552758694,1.0466028045021214,7
24,4,245,8,False,True,3.0293106101453304,2.954760566353798,1.0252304855562384,8
24,4,246,3,False,True,2.785611432045698,3.151805140078068,0.8838146104351808,3
24,4,247,7,False,True,3.576860763132572,3.4364592283964157,1.0408564529373663,7
24,4,248,6,False,True,3.412109799683094,3.318609669804573,1.0281744884700548,6
24,4,249,3,False,True,2.5041098706424236,2.9918598011136055,0.8369743360669388,3
24,4,250,10,False,True,4.6230643056333065,3.9098085835576057,1.1824272740806907,10
24,4,251,4,False,True,2.6635057292878628,3.3248099498450756,0.8011001439080669,4
24,4,252,6,False,True,3.613610751926899,3.3343094401061535,1.0837658642180052,6
24,4,253,7,False,True,3.8523110561072826,3.370959311723709,1.1427936975416766,7
24,4,254,9,False,True,4.653914365917444,4.4616591185331345,1.0430905280472251,9
24,4,255,4,False,True,2.830305602401495,3.0988105572760105,0.913352252449229,4
24,4,256,7,False,True,3.5588094033300877,3.3750617876648903,1.0544427412667687,7
24,4,257,5,False,True,3.422708250582218,3.5597593523561954,0.9614998969850972,5
24,4,258,8,False,True,4.392759874463081,3.95121518522501,1.1117490869363844,8
