n_vars,trial,expr_style,operator_pair_style,operator_diff_mode,operator_a,operator_b,quotient_a_minus_b_name,quotient_b_minus_a_name,symmetric_delta_name,overlap_name,same_operator,basis_vars,row_vars,col_vars,basis_aligned,basis_alignment_note,dense_shape,dense_elements,quotient_a_minus_b_matrix,quotient_b_minus_a_matrix,symmetric_delta_matrix,cm_quotient_a_minus_b_time_s,cm_quotient_b_minus_a_time_s,cm_symmetric_delta_time_s,cm_quotient_total_time_s,features_a,features_b,overlap_features,a_minus_b_features,b_minus_a_features,symmetric_delta_features,a_contains_b,b_contains_a,jaccard_features,semantic_delta_density,semantic_equivalent,structural_same,opdiff_semantic_equivalent,opdiff_structural_same
2,49,operator_table_2x2,operator_table_2x2,cm_quotient,XOR,FALSE,XOR,FALSE,XOR,FALSE,False,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,01;10,00;00,01;10,0.0,0.0,0.0,0.0,2,0,0,2,0,2,True,False,0.0,,False,False,False,False
2,50,operator_table_2x2,operator_table_2x2,cm_quotient,XOR,EQV,XOR,EQV,TRUE,FALSE,False,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,01;10,10;01,11;11,0.0,0.0,0.0,0.0,2,2,0,2,2,4,False,False,0.0,,False,False,False,False
2,51,operator_table_2x2,operator_table_2x2,cm_quotient,XOR,XOR,FALSE,FALSE,FALSE,XOR,True,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,00;00,00;00,00;00,0.0,0.0,0.0,0.0,2,2,2,0,0,0,True,True,1.0,,True,True,True,True
2,52,operator_table_2x2,operator_table_2x2,cm_quotient,XOR,AND,XOR,AND,OR,FALSE,False,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,01;10,10;00,11;10,0.0,0.0,0.0,0.0,2,1,0,2,1,3,False,False,0.0,,False,False,False,False
2,53,operator_table_2x2,operator_table_2x2,cm_quotient,XOR,NOR,XOR,NOR,NAND,FALSE,False,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,01;10,00;01,01;11,0.0,0.0,0.0,0.0,2,1,0,2,1,3,False,False,0.0,,False,False,False,False
2,54,operator_table_2x2,operator_table_2x2,cm_quotient,XOR,X_AND_NOT_Y,NOT_X_AND_Y,FALSE,NOT_X_AND_Y,X_AND_NOT_Y,False,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,00;10,00;00,00;10,0.0,0.0,0.0,0.0,2,1,1,1,0,1,True,False,0.5,,False,False,False,False
2,55,operator_table_2x2,operator_table_2x2,cm_quotient,XOR,NOT_X_AND_Y,X_AND_NOT_Y,FALSE,X_AND_NOT_Y,NOT_X_AND_Y,False,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,01;00,00;00,01;00,0.0,0.0,0.0,0.0,2,1,1,1,0,1,True,False,0.5,,False,False,False,False
2,56,operator_table_2x2,operator_table_2x2,cm_quotient,XOR,IMP,X_AND_NOT_Y,EQV,RIMP,NOT_X_AND_Y,False,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,01;00,10;01,11;01,0.0,0.0,0.0,0.0,2,3,1,1,2,3,False,False,0.25,,False,False,False,False
2,57,operator_table_2x2,operator_table_2x2,cm_quotient,XOR,RIMP,NOT_X_AND_Y,EQV,IMP,X_AND_NOT_Y,False,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,00;10,10;01,10;11,0.0,0.0,0.0,0.0,2,3,1,1,2,3,False,False,0.25,,False,False,False,False
2,58,operator_table_2x2,operator_table_2x2,cm_quotient,XOR,OR,FALSE,AND,AND,XOR,False,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,00;00,10;00,10;00,0.0,0.0,0.0,0.0,2,3,2,0,1,1,False,True,0.6666666666666666,,False,False,False,False
2,59,operator_table_2x2,operator_table_2x2,cm_quotient,XOR,NAND,FALSE,NOR,NOR,XOR,False,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,00;00,00;01,00;01,0.0,0.0,0.0,0.0,2,3,2,0,1,1,False,True,0.6666666666666666,,False,False,False,False
2,60,operator_table_2x2,operator_table_2x2,cm_quotient,XOR,R,X_AND_NOT_Y,AND,L,NOT_X_AND_Y,False,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,01;00,10;00,11;00,0.0,0.0,0.0,0.0,2,2,1,1,1,2,False,False,0.3333333333333333,,False,False,False,False
2,61,operator_table_2x2,operator_table_2x2,cm_quotient,XOR,NOT_R,NOT_X_AND_Y,NOR,NOT_L,X_AND_NOT_Y,False,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,00;10,00;01,00;11,0.0,0.0,0.0,0.0,2,2,1,1,1,2,False,False,0.3333333333333333,,False,False,False,False
2,62,operator_table_2x2,operator_table_2x2,cm_quotient,XOR,L,NOT_X_AND_Y,AND,R,X_AND_NOT_Y,False,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,00;10,10;00,10;10,0.0,0.0,0.0,0.0,2,2,1,1,1,2,False,False,0.3333333333333333,,False,False,False,False
2,63,operator_table_2x2,operator_table_2x2,cm_quotient,XOR,NOT_L,X_AND_NOT_Y,NOR,NOT_R,NOT_X_AND_Y,False,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,01;00,00;01,01;01,0.0,0.0,0.0,0.0,2,2,1,1,1,2,False,False,0.3333333333333333,,False,False,False,False
2,64,operator_table_2x2,operator_table_2x2,cm_quotient,AND,TRUE,FALSE,NAND,NAND,AND,False,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,00;00,01;11,01;11,0.0,0.0,0.0,0.0,1,4,1,0,3,3,False,True,0.25,,False,False,False,False
2,65,operator_table_2x2,operator_table_2x2,cm_quotient,AND,FALSE,AND,FALSE,AND,FALSE,False,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,10;00,00;00,10;00,0.0,0.0,0.0,0.0,1,0,0,1,0,1,True,False,0.0,,False,False,False,False
2,66,operator_table_2x2,operator_table_2x2,cm_quotient,AND,EQV,FALSE,NOR,NOR,AND,False,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,00;00,00;01,00;01,0.0,0.0,0.0,0.0,1,2,1,0,1,1,False,True,0.5,,False,False,False,False
2,67,operator_table_2x2,operator_table_2x2,cm_quotient,AND,XOR,AND,XOR,OR,FALSE,False,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,10;00,01;10,11;10,0.0,0.0,0.0,0.0,1,2,0,1,2,3,False,False,0.0,,False,False,False,False
2,68,operator_table_2x2,operator_table_2x2,cm_quotient,AND,AND,FALSE,FALSE,FALSE,AND,True,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,00;00,00;00,00;00,0.0,0.0,0.0,0.0,1,1,1,0,0,0,True,True,1.0,,True,True,True,True
2,69,operator_table_2x2,operator_table_2x2,cm_quotient,AND,NOR,AND,NOR,EQV,FALSE,False,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,10;00,00;01,10;01,0.0,0.0,0.0,0.0,1,1,0,1,1,2,False,False,0.0,,False,False,False,False
2,70,operator_table_2x2,operator_table_2x2,cm_quotient,AND,X_AND_NOT_Y,AND,X_AND_NOT_Y,L,FALSE,False,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,10;00,01;00,11;00,0.0,0.0,0.0,0.0,1,1,0,1,1,2,False,False,0.0,,False,False,False,False
2,71,operator_table_2x2,operator_table_2x2,cm_quotient,AND,NOT_X_AND_Y,AND,NOT_X_AND_Y,R,FALSE,False,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,10;00,00;10,10;10,0.0,0.0,0.0,0.0,1,1,0,1,1,2,False,False,0.0,,False,False,False,False
2,72,operator_table_2x2,operator_table_2x2,cm_quotient,AND,IMP,FALSE,NOT_L,NOT_L,AND,False,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,00;00,00;11,00;11,0.0,0.0,0.0,0.0,1,3,1,0,2,2,False,True,0.3333333333333333,,False,False,False,False
2,73,operator_table_2x2,operator_table_2x2,cm_quotient,AND,RIMP,FALSE,NOT_R,NOT_R,AND,False,"X,Y","X,!X","Y,!Y",True,"2x2 canonical rows X,!X and columns Y,!Y",2x2,4,00;00,01;01,01;01,0.0,0.0,0.0,0.0,1,3,1,0,2,2,False,True,0.3333333333333333,,False,False,False,False
